			8A1	8A7	9A2	9A9
Week	Day	Time	LA0102-C19006	LA0102-C19004	LA0102-C19005	LA0102-C19001
5	1	7:30	NC18NGUVAN10:LA0102-T12111	NC10SINHHOC10:LA0102-T15022	SE19CS311:LA0102-T12001	SHL11HIS101:LA0102-T12111
5	1	8:30	NC18NGUVAN10:LA0102-T12111	NC10SINHHOC10:LA0102-T15022	SE19CS311:LA0102-T12001	SHL11HIS101:LA0102-T12111
5	1	9:30	NC18HINH11:LA0102-T13220	NC18NGUVAN10:LA0102-T12111	SBE14ECON101:LA0102-T18553	SE19CS311:LA0102-T12001
5	1	10:30	NC18HINH11:LA0102-T13220	NC18NGUVAN10:LA0102-T12111	SBE14ECON101:LA0102-T18553	SE19CS311:LA0102-T12001
5	1	11:30	NA	NA	NA	NA
5	1	13:30	NC10SINHHOC10:LA0102-T15022	NC18HINH11:LA0102-T13220	SHL11HIS101:LA0102-T12111	SBE14ECON101:LA0102-T18553
5	1	14:30	NC10SINHHOC10:LA0102-T15022	NC18HINH11:LA0102-T13220	SHL11HIS101:LA0102-T12111	SBE14ECON101:LA0102-T18553
5	2	7:30	NA	NA	NA	NA
5	2	8:30	NA	NA	NA	NA
5	2	9:30	NA	NA	NA	NA
5	2	10:30	NA	NA	NA	NA
5	2	11:30	NA	NA	NA	NA
5	2	13:30	NA	NA	NA	NA
5	2	14:30	NA	NA	NA	NA
5	3	7:30	NA	NA	NA	NA
5	3	8:30	NA	NA	NA	NA
5	3	9:30	NA	NA	NA	NA
5	3	10:30	NA	NA	NA	NA
5	3	11:30	NA	NA	NA	NA
5	3	13:30	NA	NA	NA	NA
5	3	14:30	NA	NA	NA	NA
5	4	7:30	NA	NA	NA	NA
5	4	8:30	NA	NA	NA	NA
5	4	9:30	NA	NA	NA	NA
5	4	10:30	NA	NA	NA	NA
5	4	11:30	NA	NA	NA	NA
5	4	13:30	NA	NA	NA	NA
5	4	14:30	NA	NA	NA	NA
5	5	7:30	NA	NA	NA	NA
5	5	8:30	NA	NA	NA	NA
5	5	9:30	NA	NA	NA	NA
5	5	10:30	NA	NA	NA	NA
5	5	11:30	NA	NA	NA	NA
5	5	13:30	NA	NA	NA	NA
5	5	14:30	NA	NA	NA	NA
5	6	7:30	NA	NA	NA	NA
5	6	8:30	NA	NA	NA	NA
5	6	9:30	NA	NA	NA	NA
5	6	10:30	NA	NA	NA	NA
5	6	11:30	NA	NA	NA	NA
5	6	13:30	NA	NA	NA	NA
5	6	14:30	NA	NA	NA	NA
